position,balance,price
-1,0.0,226.8457
4,-10.630800000000022,226.0146
3,-6.832400000000007,226.9642
2,-1.7378000000000497,228.6624
1,-5.817600000000027,226.6225
1,-4.599300000000085,227.2745
0,-3.731800000000078,228.142
-1,-3.731800000000078,228.1435
-2,-3.763400000000047,228.1751
-1,-2.2221000000000686,227.1644
0,-1.3742000000000871,228.6874
-1,-1.3742000000000871,226.3807
0,-3.4997000000001037,227.2762
-1,-3.4997000000001037,227.1678
-2,-4.465600000000109,228.1337
-3,-1.9978000000000975,226.8998
-4,-0.47650000000010095,226.3927
-3,-0.5148000000001502,225.9783
3,-7.817000000000235,226.93619999999999
2,-6.781100000000208,227.2815
1,-5.076700000000187,228.1337
1,-6.871600000000228,226.5373
1,-5.334700000000225,228.1071
1,-10.52920000000023,226.3319
1,-11.26230000000021,226.9074
0,-10.7629000000002,227.4068
-1,-10.7629000000002,228.57059999999998
-2,-8.899600000000248,226.7073
0,-9.614900000000262,227.3427
1,-5.227200000000323,228.8165
0,-5.538300000000305,228.5054
0,-6.026000000000295,227.9598
1,-5.551000000000329,228.4118
1,-8.581400000000372,226.62709999999998
1,-9.240400000000363,227.4509
1,-7.178200000000345,228.4329
0,-7.335500000000337,228.2756
0,-7.225200000000342,228.6287
1,-7.152000000000328,226.7214
0,-5.691600000000335,228.18179999999998
1,-6.521200000000363,226.68789999999998
0,-4.598900000000356,228.6102
-1,-4.598900000000356,227.4279
-2,-4.715300000000354,227.5443
-2,-4.22110000000032,228.05079999999998
-1,-2.1426000000003853,226.5521
-1,-2.612900000000394,226.8752
-1,-4.179700000000395,227.4694
-2,-3.3950000000003797,226.6847
-1,-4.714600000000388,226.9585
-2,-6.93700000000041,229.1809
-3,-4.701400000000376,228.0631
-4,-0.13240000000041618,226.5401
-5,-1.8876000000002477,226.97889999999998
-6,-2.8491000000003623,227.1712
-7,-6.231900000000451,227.73499999999999
-1,-5.9286000000006425,226.715
-1,-7.086400000000651,226.5283
0,-7.366900000000669,228.2756
-1,-7.366900000000669,226.8182
-2,-8.554200000000662,228.00549999999998
-1,-5.829800000000716,227.2156
-1,-6.749900000000736,228.101
-2,-6.099800000000755,227.4509
-3,-5.249800000000846,227.0259
-4,-4.708900000000767,226.8456
-5,-7.291700000000901,227.4913
-6,-10.744200000000774,228.18179999999998
-7,-2.1354000000005726,226.74699999999999
-5,-4.69330000000059,226.5283
-3,-9.865900000000693,227.3198
-3,-9.004600000000778,226.8339
-4,-9.247600000000716,226.9149
-5,-5.883600000000797,226.0739
-6,-11.219600000000582,227.1411
-7,-17.42360000000076,228.1751
-5,-10.903500000000577,226.65879999999999
-6,-12.192000000000462,226.91649999999998
-7,-28.185600000000477,229.5821
-7,-8.031400000000758,226.7049
-7,-20.118500000000495,228.659
-8,-16.194300000000567,228.0984
-7,-11.132200000000694,227.3173
-6,-8.546100000000706,226.8212
-7,-6.931500000000597,226.5521
-7,-17.705700000000434,228.0984
-7,-14.552300000000287,227.56029999999998
-8,-9.79440000000045,226.8806
-9,-6.065600000000586,226.4145
-10,-23.0621000000001,228.303
-11,-1.8850999999999658,226.18529999999998
-12,-10.329800000000432,226.953
-13,-11.432600000000093,227.04489999999998
-14,-26.32150000000047,228.1902
-15,-5.156300000000556,226.67839999999998
-16,-8.124800000000505,226.8763
-17,-31.502400000000762,228.3374
-16,-9.493000000000848,226.8716
-17,-10.411400000000867,226.929
-18,-10.935000000000855,226.9598
-19,-35.1864000000005,228.3071
-19,0.643699999999626,226.396
-19,-6.032700000000659,226.6658
-20,-1.5354000000006636,226.4291
-20,-6.943099999999504,226.6521
-21,-33.26710000000094,227.9683
-21,-16.662099999999555,227.1795
-21,-10.01050000000032,226.7844
-21,-2.25879999999961,226.4017
-18,-15.067599999999857,226.915
-17,-14.41170000000011,226.9253
-18,-17.84740000000056,227.1274
-19,-28.784200000000965,227.73499999999999
-17,-16.57930000000124,227.0662
-17,-32.80020000000104,228.1244
-16,-19.16020000000117,227.3648
-15,-11.266100000001188,226.8696
-15,-31.410100000000966,228.34619999999998
-14,-8.680400000001555,226.8426
-14,-26.918000000001484,228.2288
-15,-30.737200000001394,228.5016
-15,-10.555800000001,227.17
-16,-48.10080000000107,229.673
-14,-11.219100000001163,227.3648
-15,-22.993100000000595,228.20579999999998
-16,-22.169600000001083,228.1509
-17,-8.28800000000092,227.2833
-17,-22.564400000001115,228.1208
-16,-24.424900000001344,228.4111
-17,-19.463300000001254,228.101
-15,-6.216600000000653,227.3036
